"Année","Type de contrôle","Organismes","Lieu de contrôle","Département","Secteur d'activité de l'organisme"
2016,"loi 78","PRIMAIRES DE LA DROITE ET DU CENTRE","BAILLEUL",59,"Politique"
2016,"loi 78","KIABI EUROPE","HEM",59,"Commerce"
2016,"loi 78","44 GALERIES LAFAYETTE - 44 GL","PARIS",75,"Commerce"
2016,"loi 78","GROUPE LA POSTE ","LIBOURNE",33,"Commerce"
2016,"loi 78","INSTA MAIL MEDIA","PARIS",75,"Commerce"
2016,"loi 78","FORD BYmyCAR Lyon Sud","VENISSIEUX",69,"Commerce"
2016,"loi 78","NORAUTO VENISSIEUX","VENISSIEUX",69,"Commerce"
2016,"loi 78","FEU VERT","VENISSIEUX",69,"Commerce"
2016,"loi 78","GAD","MONTREUIL",93,"Commerce"
2016,"loi 78","3 SUISSES","CROIX",59,"Commerce"
2016,"loi 78","3 SUISSES","CROIX",59,"Commerce"
2016,"loi 78","LAPRIMAIRE.ORG","PARIS",75,"Politique"
2016,"loi 78","AIR FRANCE ","TREMBLAY EN France",93,"Commerce"
2016,"loi 78","QAPA ","PARIS",75,"Commerce"
2016,"loi 78","DAILYMOTION","PARIS",75,"Commerce"
2016,"loi 78","COMMUNE DE LA GARENNE COLOMBES","LA  GARENNE COLOMBES",92,"Collectivités locales"
2016,"vidéo","SPORT 33 - LE METROPOLE","BORDEAUX",33,"Commerce"
2016,"vidéo","TENDANCE FASHION","NANTERRE",92,"Commerce"
2016,"vidéo","TENDANCE FASHION","PARIS",75,"Commerce"
2016,"vidéo","MUSEE DES CONFLUENCES","LYON",69,"Education/culture/sport"
2016,"vidéo","COMMUNE DE SEVRES","SEVRES",92,"Collectivités locales"
2016,"vidéo","COMMUNE DE RAMBOUILLET","RAMBOUILLET",78,"Collectivités locales"
2016,"vidéo","SARL RUSSO","SPICHEREN ET GROSBLIEDERSTROFF",57,"Commerce"
2016,"vidéo","SARL RUSSO","SPICHEREN ET GROSBLIEDERSTROFF",57,"Commerce"
2016,"vidéo","COMMUNE DE FORBACH","FORBACH",57,"Collectivités locales"
2016,"vidéo","MUSEE NATIONAL DES ARTS ASIATIQUES GUIMET","PARIS",75,"Education/culture/sport"
2016,"vidéo","COMMUNE DE SALLANCHES","SALLANCHES",74,"Collectivités locales"
2016,"vidéo","COMMUNE DE BOBIGNY","BOBIGNY",93,"Collectivités locales"
2016,"vidéo","COMMUNE DE PIERREFITTE SUR SEINE ","PIERREFITTE SUR SEINE",93,"Collectivités locales"
2016,"vidéo","COMMUNE DE MEUDON","MEUDON",92,"Collectivités locales"
2016,"vidéo","LA POSTE ","AVIGNON",84,"Commerce"
2016,"vidéo","LA POSTE","GENNEVILLIERS",92,"Commerce"
2016,"vidéo","LA POSTE","FECAMP",76,"Commerce"
2016,"vidéo","LA POSTE","LA ROCHE SUR YON",85,"Commerce"
2016,"vidéo","LA POSTE","PUTEAUX",92,"Commerce"
2016,"vidéo","SERVICE DEPARTEMENTAL INCENDIE ET SECOURS DES PYRENEES ORIENTALES","PERPIGNAN",66,"Police/justice/sécurité"
2016,"vidéo","COMMUNE DE SENS","SENS",89,"Collectivités locales"
2016,"vidéo","COMMUNE DE PROVINS","PROVINS",77,"Collectivités locales"
2016,"vidéo","COMMUNE DE GIEN","GIEN",45,"Collectivités locales"
2016,"vidéo","COMMUNE D'AVIGNON","AVIGNON",84,"Collectivités locales"
2016,"vidéo","COMMUNE DE CARPENTRAS","CARPENTRAS",84,"Collectivités locales"
2016,"vidéo","COMMUNE DU BLANC MESNIL","LE BLANC MESNIL",93,"Collectivités locales"
2016,"vidéo","COMMUNE DU BLANC MESNIL","LE BLANC MESNIL",93,"Collectivités locales"
2016,"vidéo","FRENCH TROTTERS","PARIS",75,"Commerce"
2016,"vidéo","COMMUNE DE DUGNY","DUGNY",93,"Collectivités locales"
2016,"vidéo","COMMUNE DE HENIN BEAUMONT","HENIN BEAUMONT",62,"Collectivités locales"
2016,"vidéo","COMMUNE DE NOISY LE GRAND","NOISY LE GRAND",93,"Collectivités locales"
2016,"vidéo","DELKO MARSEILLE","MARSEILLE",13,"Commerce"
2016,"vidéo","INTERMARCHE SUPER","MARSEILLE",13,"Commerce"
2016,"vidéo","COMMUNE SULLY SUR LOIRE","SULLY SUR LOIRE",45,"Collectivités locales"
2016,"vidéo","COMMUNE DE SOISY SOUS MONTMORENCY","SOISY SOUS MONTMORENCY",95,"Collectivités locales"
2016,"vidéo","COMMUNE BONNY SUR LOIRE","BONNY SUR LOIRE",45,"Collectivités locales"
2016,"vidéo","HELMANI - CINEMA MEGA CGR LE Français","BORDEAUX",33,"Commerce"
2016,"vidéo","COMMUNE DE VILLETANEUSE","VILLETANEUSE",93,"Collectivités locales"
2016,"vidéo","COMMUNE DE GENNEVILLIERS","GENNEVILLIERS",92,"Collectivités locales"
2016,"vidéo","COMMUNE DE LIMOGES","LIMOGES",87,"Collectivités locales"
2016,"vidéo","COMMUNE DE ROANNE","ROANNE",42,"Collectivités locales"
2016,"vidéo","MERCURE ROYAL LIMOUSIN","LIMOGES",87,"Commerce"
2016,"vidéo","MUSEE DES BEAUX ARTS DE LIMOGES","LIMOGES",87,"Education/culture/sport"
2016,"vidéo","COMMUNE DE TARARE","TARARE",69,"Collectivités locales"
2016,"vidéo","CAPC MUSEE D'ART CONTEMPORAIN DE BORDEAUX","BORDEAUX",33,"Education/culture/sport"
2016,"vidéo","COMMUNE DE VAUCRESSON","VAUCRESSON",92,"Collectivités locales"
2016,"vidéo","HOPITAL EUROPEEN","MARSEILLE",13,"Santé/social"
2016,"vidéo","FALGAYRAS S.A.S","COLOMIERS",31,"Commerce"
2016,"vidéo","COMMUNE DE BOURG LA REINE","BOURG LA REINE",92,"Collectivités locales"
2016,"vidéo","COMMUNE DE REIMS","REIMS",51,"Collectivités locales"
2016,"vidéo","COMMUNE DES LILAS","LES LILAS",93,"Collectivités locales"
2016,"vidéo","COMMUNE DE CLICHY LA GARENNE","CLICHY LA GARENNE",92,"Collectivités locales"
2016,"vidéo","COMMUNE LE PRE SAINT GERVAIS","LE PRE SAINT GERVAIS",93,"Collectivités locales"
2016,"vidéo","COMMUNE DE CHÂTEAU THIERRY","CHATEAU THIERRY",2,"Collectivités locales"
2016,"vidéo","COMMUNE DE SAINT SAULVE","SAINT SAULVE",59,"Collectivités locales"
2016,"vidéo","COMMUNE DE BELLOT","BELLOT",77,"Collectivités locales"
2016,"vidéo","COMMUNE DE BOURG DE PEAGE","BOURG DE PEAGE",26,"Collectivités locales"
2016,"vidéo","COMMUNE DE MOUY","MOUY",60,"Collectivités locales"
2016,"vidéo","COMMUNE DE SAINT JUST EN CHAUSSEE","SAINT JUST EN CHAUSSEE",60,"Collectivités locales"
2016,"vidéo","COMMUNE DE BRETEUIL","BRETEUIL",60,"Collectivités locales"
2016,"vidéo","COMMUNE DE RUEIL MALMAISON","RUEIL MALMAISON",92,"Collectivités locales"
2016,"vidéo","CENTRE AQUATIQUE LE DOME DE VINCENNES","VINCENNES",94,"Education/culture/sport"
2016,"vidéo","COMMUNE DE VERNON","VERNON",27,"Collectivités locales"
2016,"vidéo","COMMUNE DE ROMAINVILLE","ROMAINVILLE",93,"Collectivités locales"
2016,"vidéo","MUSEE DES CIVILISATIONS DE L'EUROPE ET DE LA MEDITERRANEE (MUCEM)","MARSEILLE",13,"Education/culture/sport"
2016,"vidéo","COMMUNE DE POISSY","POISSY",78,"Collectivités locales"
2016,"vidéo","PALAIS FESH-MUSEE DES BEAUX-ARTS","AJACCIO",20,"Education/culture/sport"
2016,"vidéo","COMMUNE D'AJACCIO","AJACCIO",20,"Collectivités locales"
2016,"vidéo","COMMUNE DU MANS","LE MANS",72,"Collectivités locales"
2016,"vidéo","COMMUNE DE FORGES LES EAUX","FORGES LES EAUX",76,"Collectivités locales"
2016,"vidéo","COMMUNE DE GOURNAY EN BRAY","GOURNAY EN BRAY",76,"Collectivités locales"
2016,"vidéo","COMMUNE DE SENLIS","SENLIS",60,"Collectivités locales"
2016,"vidéo","COMMUNE DE PONT SAINTE MAXENCE","PONT SAINTE MAXENCE",60,"Collectivités locales"
2016,"vidéo","PREFECTURE DE POLICE DE PARIS","PARIS",75,"Police/justice/sécurité"
2016,"vidéo","PREFECTURE DE POLICE DE PARIS","PARIS",75,"Police/justice/sécurité"
2016,"vidéo","COMMUNE DE L'HAY LES ROSES"," L'HAY LES ROSES",94,"Collectivités locales"
2016,"vidéo","COMMUNE DE L'ISLE ADAM","L'ISLE ADAM",95,"Collectivités locales"
2016,"vidéo","CENTRE POMPIDOU METZ","METZ",57,"Education/culture/sport"
2016,"vidéo","COMMUNE DE NOGENT SUR OISE","NOGENT SUR OISE",60,"Collectivités locales"
2016,"vidéo","MUSEE DES BEAUX ARTS DE LYON","LYON",69,"Education/culture/sport"
2016,"vidéo","MUSEE DU LOUVRE-LENS","LENS",62,"Education/culture/sport"
2016,"vidéo","MUSEE D'ART MODERNE ET CONTEMPORAIN","STRASBOURG",67,"Education/culture/sport"
2016,"vidéo","PREFECTURE DE POLICE 
(COMMISSARIAT DU 18ème ARRONDISSEMENT DE PARIS)","PARIS",75,"Police/justice/sécurité"
2016,"vidéo","PREFECTURE DE POLICE","PARIS",75,"Police/justice/sécurité"
2016,"vidéo","PREFECTURE DE POLICE DE PARIS - MAIRIE DE PARIS","PARIS",75,"Police/justice/sécurité"
2016,"vidéo","PREFECTURE DE POLICE DE PARIS - COMMISSARIAT DE VILLEPINTE","VILLEPINTE",93,"Police/justice/sécurité"
2016,"vidéo","PHILHARMONIE DE PARIS","PARIS",75,"Education/culture/sport"
2016,"vidéo","SALLE PLEYEL","PARIS",75,"Education/culture/sport"
2016,"vidéo","THEATRE EDOUARD VII","PARIS",75,"Education/culture/sport"
2016,"vidéo","INTERCONTINENTAL MARSEILLE - HOTEL DIEU","MARSEILLE",13,"Commerce"
2016,"vidéo","COMMUNE D'ENGHIEN LES BAINS","ENGHIEN LES BAINS",95,"Collectivités locales"
2016,"vidéo","COMMUNE DE CHAMBOURCY","CHAMBOURCY",78,"Collectivités locales"
2016,"vidéo","SNCF (gare de Rosa Parks RER E)","PARIS",78,"Transport"
2016,"vidéo","SNCF","PARIS",75,"Transport"
2016,"contrôle en ligne","EUROPE1.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","LEXPRESS.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","GLEEDEN.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","PUBLIC IDEES","PARIS",75,"Commerce"
2016,"contrôle en ligne","REGIE ORANGE","PARIS",75,"Commerce"
2016,"contrôle en ligne","THE RUBICON PROJECT","PARIS",75,"Commerce"
2016,"contrôle en ligne","TELEPOINT.FR 
(#permis-ministère de l'intérieur)","PARIS",75,"Police/justice/sécurité"
2016,"contrôle en ligne","DEVRED.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","NORAUTO.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","JOUECLUB.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","FEUVERT.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","LIVRAISON.SIMPLYMARKET.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","BOURSOWEB.FR","PARIS",75,"Télécommunications"
2016,"contrôle en ligne","LAGRANDERECRE.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","1AND1.FR","PARIS",75,"Télécommunications"
2016,"contrôle en ligne","MADEINDESIGN.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","PIECESAUTO.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","CDISCOUNT.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","CDISCOUNT","PARIS",75,"Commerce"
2016,"contrôle en ligne","HOURA.FR ","PARIS",75,"Commerce"
2016,"contrôle en ligne","TRUFFAUT.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","PICARD.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","LEETCHI.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","MAXIMO.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","THIRIET.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","AIRBUS.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","TOUPARGEL.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","VILLAGE-JUSTICE.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","RUEDESCADEAUX.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","COLLEO.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","CACHE-CACHE.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","SARENZA.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","LEPOTCOMMUN.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","PRINCESSTAMTAM.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","TICKETAC.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","TICKETMASTER.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","CARRIERES-JURIDIQUES.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","RECRULEX.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","FRANCEBILLET.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","VICTIME-RIPOU.COM","PARIS",75,"Télécommunications"
2016,"contrôle en ligne","JOBIJOBA.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","DATANANAS.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","GAMEKULT.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","JEUXVIDEO.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","DIRECTEMPLOI.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","TAXIG7.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","UBER.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","MONSTER.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","LEADERDRIVE.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","HEETCH.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","APEC.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","APEC.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","UNIVERSITE BRETAGNE LOIRE ","PARIS",75,"Education/culture/sport"
2016,"contrôle en ligne","QAPA.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","AIRBNB.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","MICROSOFT CORPORATION","PARIS",75,"Commerce"
2016,"contrôle en ligne","MICROSOFT CORPORATION","PARIS",75,"Commerce"
2016,"contrôle en ligne","MICROSOFT CORPORATION","PARIS",75,"Commerce"
2016,"contrôle en ligne","MICROSOFT CORPORATION","PARIS",75,"Commerce"
2016,"contrôle en ligne","MICROSOFT CORPORATION","PARIS",75,"Commerce"
2016,"contrôle en ligne","MICROSOFT CORPORATION","PARIS",75,"Commerce"
2016,"contrôle en ligne","MICROSOFT CORPORATION","PARIS",75,"Commerce"
2016,"contrôle en ligne","FRANCE-ADOT.ORG","PARIS",75,"Santé/social"
2016,"contrôle en ligne","AMPLEMENT","PARIS",75,"Economie"
2016,"contrôle en ligne","STAROFSERVICE.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","PARTI-SOCIALISTE.FR","PARIS",75,"Police/justice/sécurité"
2016,"contrôle en ligne","PETITS-FILS.COM","BOULOGNE BILLANCOURT",92,"Commerce"
2016,"contrôle en ligne","MERCIPLUS.FR ","PARIS",75,"Commerce"
2016,"contrôle en ligne","UNIV-BPCLERMONT.FR 
+ INSTITUT DE CHIMIE DE CLERMONT FERRAND","PARIS",75,"Education/culture/sport"
2016,"contrôle en ligne","FREE-DOM.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","ALLIANCE CONNECTIC.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","TOOL-FITNESS.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","ADOMVET.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","SERENI DOM ","PARIS",75,"Commerce"
2016,"contrôle en ligne","MGAS.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","MNPAF.FR","PARIS",75,"Assurances"
2016,"contrôle en ligne","GESLICO.FFPJP.COM
FEDERATION FRANCAISE DE PETANQUE ET DE JEU PROVENCAL (FFPJP)","PARIS",75,"Commerce"
2016,"contrôle en ligne","MUTAMI.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","CARPS.FR","PARIS",75,"Assurances"
2016,"contrôle en ligne","OUICAR.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","02 DEVELOPPEMENT","PARIS",75,"Commerce"
2016,"contrôle en ligne","OZZEO.FR","TOULOUSE",31,"Commerce"
2016,"contrôle en ligne","APPLICATION KNOCKIN","PARIS",75,"Commerce"
2016,"contrôle en ligne","BG NOVATION - LASER GAME","PARIS",75,"Commerce"
2016,"contrôle en ligne","EXPOFRANCE2025.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","YOURONLINECHOICES.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","MINISTERE DE L'INTERIEUR
http://www.interieur.gouv.fr","PARIS",75,"Police/justice/sécurité"
2016,"contrôle en ligne","U-BORDEAUX1.FR","PARIS",75,"Education/culture/sport"
2016,"contrôle en ligne","HTTPS://WWW.PRE-PLAINTE-EN-LIGNE.GOUV.FR","PARIS",75,"Police/justice/sécurité"
2016,"contrôle en ligne","MON.SERVICE-PUBLIC.FR","PARIS",75,"Police/justice/sécurité"
2016,"contrôle en ligne","WHATSAPP","PARIS",75,"Commerce"
2016,"contrôle en ligne","WHATSAPP","PARIS",75,"Commerce"
2016,"contrôle en ligne","CARTEREDUCTION-HERTZ.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","POLICE-NATIONALE.INTERIEUR.GOUV.FR","PARIS",75,"Police/justice/sécurité"
2016,"contrôle en ligne","DOCTOLIB.FR","PARIS",75,"Santé/social"
2016,"contrôle en ligne","ANTS.GOUV.FR","PARIS",75,"Police/justice/sécurité"
2016,"contrôle en ligne","FAMILY-SPHERE.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","SAMSUNGSERVICES.COM","PARIS",75,"Commerce"
2016,"contrôle en ligne","KYO-ASCENSEUR.FR","PARIS",75,"Commerce"
2016,"contrôle en ligne","MOBILISATION.ALAINJUPPE2017.FR","PARIS",75,"Politique"
2016,"contrôle en ligne","ASSOCIATION DEMOCRATECH","PARIS",75,"Police/justice/sécurité"
